,trackID,trackTitle,artistName,trackPopularity,releaseDate,artistFollowers,topGenre1,topGenre2,artistID,albumID,songID,audio_Duration_ms,set_subset,set_split
5,5,As Time Goes By,Ingmar Nordströms,4.0,2012,4266.0,Country,,11v210K5CwGkgbGK3COISh,5do1iHWqdWHMvvuZ1Rm6pY,SOAAAGO12A67AE0A0E,155747,small,train
10,10,Fallen Not Broken,The Wolfgang Press,3.0,1995,4936.0,Pop,Rock,30JExXexrTakSa79ce2mn8,0u1VwsQJoFdVIBLCprCEvO,SOAAAUY12A8C133A1B,241600,small,test
11,11,Sobrevivir,Bobby Pullido,4.0,2000,,,,4L4ZR1kZoLcA6Yw9DZCAS5,0RS9hwIzH4TGsYFVLnQIDO,SOAAAXN12A8C13A70C,194667,small,train
21,21,Dirty Dozen,London Elektricity,4.0,1999,44542.0,OTHER,Electronic/Dance,4CbuwI3bEF7gQOwpxBKtal,2qLp8yOhbRalZj2Z866XA9,SOAACSQ12AB0187742,348722,small,train
22,22,Christmas Is Coming Soon!,Blitzen Trapper,42.0,2003,82915.0,Country,OTHER,72XY3HrDdFfZXNZFCT9Zh1,3sgfHVpJPSTWPeZQuDM6Er,SOAACTC12AB0186A20,183933,small,test
27,27,It Must Be Love,Iron Butterfly,8.0,1993,136745.0,Rock,Rock,3cdvlbCYf4WoBdy89RWkNS,5SRbMc6fb21BcI3eq3aF7X,SOAADBZ12A8AE46874,263573,small,test
29,29,Tranquilizer,Love/Hate,3.0,1992,10815.0,Metal,Rock,2KhbcJUHaPopOLQRzC0B5E,4hh3lxHd7AAgLXhvO3Jldd,SOAADGU12AB018321A,235173,small,test
41,41,Breath And Start,Blockhead,23.0,2004,99508.0,Jazz,Hip-hop,7bHm3B3jJju0q9FUdOgp3b,5kEQ9AhNjGvjvplVU3dEkj,SOAADXN12AB0184C0A,262040,small,train
42,42,Drive,The String Cheese Incident,10.0,2005,106784.0,Rock,Pop,7N3JfLDzzjXdPbsyco7X0l,2FBi1cdRFKcemCdBazLtqN,SOAAEBD12AB017C4C1,233773,small,train
44,44,Mamma bella,Kowalsky Meg A Vega,4.0,2006,22854.0,Hip-hop,Pop,5cllnH1YfZ7XL3mvvgWcGm,3k021M0F7hk087gxjeRd5b,SOAAECA12AB0186242,257653,small,train
46,46,Perla del mare,Gian Piero Reverberi,14.0,2012,,,,3x4ZOtvWL1tRd6aFUxeBoK,2sGsGtHpHKeRswj1bAVzv2,SOAAEEE12A8C13EA59,120427,small,train
